RESOLUTION,ERROR
1700,0.04178108751196678
900,0.015682793969543002
450,0.014815296818897906
650,0.015068889426243534
1850,0.014183941734748755
1500,0.013083474070591366
1100,0.013305276809964411
250,0.014322819027417718
1300,0.01322330818346074
1950,0.012910556486845954
750,0.011947234307859982
1400,0.012911302545798071
800,0.02698793768512874
1600,0.04833737986549597
550,0.014391913927246898
150,0.013321363425989328
1200,0.01570592569529934
1000,0.014442945689942316
350,0.018508359968925556
1150,0.013941170805971617
200,0.012445412444859926
1350,0.06771396886245663
1750,0.013082071068892245
950,0.028136306940587025
400,0.017960917490707013
600,0.016321704323038835
1800,0.03054250948911826
1550,0.01559724628017321
100,0.011938068594286179
1250,0.03927742029861988
1050,0.019881191560007273
300,0.016732467794072673
1900,0.09064173298627151
700,0.014229417203993526
1450,0.01691807444030234
850,0.013275898717380245
1650,0.01512536229177331
500,0.01747410523234669
