RESOLUTION,ERROR
1700,0.005103061556165236
900,0.0048903384772944125
450,0.0048557985624233975
650,0.0047863962656407456
1850,0.004921348984507946
1500,0.004692816884682383
1100,0.004872967294100252
250,0.0054234640318045705
1300,0.004801914627681746
1950,0.0048298942302544955
750,0.004723404588072624
1400,0.004816034942912512
800,0.004820887798940395
1600,0.004982658734429053
550,0.004924725096548703
150,0.005381345439537126
1200,0.004905268345477341
1000,0.00490631053065974
350,0.005247449731581157
1150,0.0047803975753608775
200,0.0048057177842993366
1350,0.0051346039429618654
1750,0.004874063563644053
950,0.004784271876570447
400,0.00485543991830555
600,0.004861279229944255
1800,0.005103419004609118
1550,0.004950791919810252
100,0.00883204556366563
1250,0.004965175219235275
1050,0.004797510211129214
300,0.00489378100335946
1900,0.005142541398840542
700,0.00481518522004034
1450,0.004922348124571135
850,0.0045955611193823145
1650,0.00493932648706145
500,0.004950968396129415
