RESOLUTION,ERROR
1700,0.009748519207765396
900,0.00951596930102817
450,0.009223524077566367
650,0.009273848894257197
1850,0.009605752930861388
1500,0.009370994013382416
1100,0.009515690119327935
250,0.009005663667299458
1300,0.00938779042420302
1950,0.009497410247332996
750,0.009196789413495134
1400,0.009343295692678832
800,0.00936082707245383
1600,0.009500186225256472
550,0.009461441237144002
150,0.009650389888559647
1200,0.00952104518832312
1000,0.009445298212562021
350,0.009208292858821602
1150,0.009337013204476066
200,0.008482496934947233
1350,0.009649283542511575
1750,0.009562271614573965
950,0.009349444080139097
400,0.009285675811784879
600,0.009389940814327579
1800,0.009763117635946438
1550,0.00959854799222585
100,0.009971781060350437
1250,0.009577700806451657
1050,0.009493570779009903
300,0.009360721070403097
1900,0.00963106285001917
700,0.009508267678344933
1450,0.009670363518008398
850,0.00925965764377564
1650,0.009541152277249982
500,0.009314015942081153
