RESOLUTION,ERROR
1700,3.2418299928338954e-05
900,3.3973748964538976e-05
450,3.4342777679038914e-05
650,3.2804894465244785e-05
1850,3.2193491750154406e-05
1500,3.245622406692481e-05
1100,3.1717844323408763e-05
250,3.090629643853593e-05
1300,3.173945499496777e-05
1950,3.212610023257507e-05
750,3.096248088762965e-05
1400,3.052339536216354e-05
800,3.5653265245147704e-05
1600,3.320884744262868e-05
550,3.332184116115214e-05
150,5.279236138159201e-05
1200,3.0576200130739665e-05
1000,3.0646514905471706e-05
350,2.426448872299073e-05
1150,2.8943747577656545e-05
200,2.892096255181441e-05
1350,3.609956128202853e-05
1750,3.125385751667557e-05
950,3.1018284092682234e-05
400,2.8608406078642993e-05
600,2.7721115447657298e-05
1800,3.5372818563242944e-05
1550,3.1349755367285195e-05
100,2.837466031610767e-05
1250,3.547730242495944e-05
1050,2.928518642478547e-05
300,2.6556553540854664e-05
1900,3.432807312183697e-05
700,2.8431916290223193e-05
1450,3.2945471389538254e-05
850,3.1319365779618836e-05
1650,3.129414317947095e-05
500,2.8059619316229224e-05
