RESOLUTION,ERROR,ERROR RATE
1700,9932,0.344
900,2818,0.348
450,670,0.331
650,1401,0.332
1850,11466,0.335
1500,7650,0.34
1100,4307,0.356
250,193,0.309
1300,5667,0.335
1950,13235,0.348
750,1818,0.323
1400,6911,0.353
800,2219,0.347
1600,8709,0.34
550,1023,0.338
150,59,0.262
1200,4676,0.325
1000,3385,0.339
350,363,0.296
1150,4358,0.33
200,126,0.315
1350,6532,0.358
1750,10243,0.334
950,2992,0.332
400,525,0.328
600,1077,0.299
1800,11171,0.345
1550,8516,0.354
100,29,0.29
1250,5535,0.354
1050,3519,0.319
300,286,0.318
1900,12103,0.335
700,1575,0.321
1450,7288,0.347
850,2519,0.349
1650,9237,0.339
500,861,0.344
