RESOLUTION,ERROR
1700,0.00022023669155637134
900,0.0002203305601686089
450,0.0002262742180519468
650,0.00023180826409096452
1850,0.0002193914812850102
1500,0.00022040083813447867
1100,0.0002148505719583385
250,0.00020610868783708385
1300,0.0002186908040003294
1950,0.00022324337782263128
750,0.000220805703093675
1400,0.00021200004739957786
800,0.0002339751616273938
1600,0.0002217334768052459
550,0.00022934725118695117
150,0.00031030020313940304
1200,0.00021236009817890054
1000,0.00021664398149209577
350,0.00018731674046270936
1150,0.00021271445187900952
200,0.00021104278369460258
1350,0.00022258192052663453
1750,0.00021728742843325733
950,0.0002150971219414194
400,0.00020715317745586837
600,0.00019497224624314422
1800,0.00022977937580502414
1550,0.00022053577603831318
100,0.00019587392387076903
1250,0.00023367154018249912
1050,0.00020343891174584247
300,0.00019103552804635893
1900,0.0002300409522350861
700,0.00020728810973245858
1450,0.00022742195397330237
850,0.00021130119597735837
1650,0.00022056791173490897
500,0.00020130609006414706
