RESOLUTION,ERROR,ERROR RATE
1700,24940,0.863
900,6926,0.855
450,1666,0.823
650,3549,0.84
1850,27763,0.811
1500,19694,0.875
1100,11155,0.922
250,458,0.733
1300,14563,0.862
1950,33946,0.893
750,4901,0.871
1400,17181,0.877
800,5694,0.89
1600,21338,0.834
550,2573,0.851
150,166,0.738
1200,11744,0.816
1000,8721,0.872
350,937,0.765
1150,11224,0.849
200,292,0.73
1350,17453,0.958
1750,25848,0.844
950,7708,0.854
400,1313,0.821
600,2585,0.718
1800,27662,0.854
1550,22158,0.922
100,69,0.69
1250,13878,0.888
1050,8538,0.774
300,695,0.772
1900,30787,0.853
700,3808,0.777
1450,17608,0.837
850,6499,0.9
1650,24482,0.899
500,2036,0.814
