RESOLUTION,ERROR
1700,0.0027591055962192077
900,0.0027569769935160745
450,0.0027541228457899996
650,0.002729728534532131
1850,0.002737293224447009
1500,0.0027202584982682345
1100,0.0027466136520100477
250,0.002936610164292136
1300,0.0027353063487573835
1950,0.002735611238690265
750,0.0027148069341795494
1400,0.0027260934056680497
800,0.002779167774443289
1600,0.0027821057808864987
550,0.002741202903913127
150,0.0036524504630283117
1200,0.002738747717325391
1000,0.0027494548230703906
350,0.0027425768347450388
1150,0.0026713121679139903
200,0.002593198708878726
1350,0.002756853257682655
1750,0.00274054127891338
950,0.0026833442623524864
400,0.0026366561336550157
600,0.0026491118510346017
1800,0.0027562561250365873
1550,0.002747853262740223
100,0.002377906353037353
1250,0.0027612387070158756
1050,0.0026761300349683213
300,0.0026240198008912977
1900,0.0027575133262108292
700,0.002651881538905622
1450,0.002756712749410418
850,0.002695605228707239
1650,0.002745942737925171
500,0.002644829060488504
