RESOLUTION,ERROR,ERROR RATE
1700,112082,3.878
900,31100,3.84
450,7764,3.834
650,16162,3.825
1850,131945,3.855
1500,86100,3.827
1100,46764,3.865
250,2418,3.869
1300,65437,3.872
1950,146976,3.865
750,21450,3.813
1400,75040,3.829
800,24995,3.905
1600,100675,3.933
550,11652,3.852
150,861,3.827
1200,55504,3.854
1000,38152,3.815
350,4592,3.749
1150,48665,3.68
200,1449,3.623
1350,70125,3.848
1750,118126,3.857
950,33620,3.725
400,5889,3.681
600,13274,3.687
1800,124648,3.847
1550,91619,3.813
100,345,3.45
1250,60701,3.885
1050,40708,3.692
300,3270,3.633
1900,139426,3.862
700,18105,3.695
1450,81046,3.855
850,27173,3.761
1650,105177,3.863
500,9204,3.682
