RESOLUTION,ERROR
1700,0.03781068434729927
900,0.024056488907497467
450,0.013146324963008495
650,0.011693280013293922
1850,0.015082857991139524
1500,0.01308805582928341
1100,0.012343692585647706
250,0.013528230901409305
1300,0.014345820123824593
1950,0.012715683711445519
750,0.012017286268930396
1400,0.011287375814090892
800,0.04076643152317142
1600,0.030317534122994278
550,0.01389195608566675
150,0.012704558194659422
1200,0.013241834859372323
1000,0.012432790349349472
350,0.018896108246921537
1150,0.016172545235441965
200,0.013600736756676305
1350,0.06925165966214365
1750,0.013433125502213166
950,0.012456127456320593
400,0.018502419465723976
600,0.01867190195937331
1800,0.03743083303159917
1550,0.013481516233781209
100,0.011938068594286179
1250,0.057582445595406644
1050,0.020290172894368116
300,0.01895381146820095
1900,0.06571248266097371
700,0.018489654352600575
1450,0.017031371128208638
850,0.012236111138785859
1650,0.012508982422409803
500,0.02525063422683883
