RESOLUTION,ERROR,ERROR RATE
1700,529,0.018
900,60,0.007
450,8,0.004
650,65,0.015
1850,671,0.02
1500,456,0.02
1100,146,0.012
250,7,0.011
1300,298,0.018
1950,891,0.023
750,108,0.019
1400,398,0.02
800,106,0.017
1600,697,0.027
550,22,0.007
150,25,0.111
1200,184,0.013
1000,106,0.011
350,25,0.02
1150,324,0.024
200,3,0.007
1350,252,0.014
1750,541,0.018
950,163,0.018
400,9,0.006
600,50,0.014
1800,589,0.018
1550,495,0.021
100,0,0.0
1250,251,0.016
1050,223,0.02
300,10,0.011
1900,518,0.014
700,89,0.018
1450,305,0.015
850,195,0.027
1650,386,0.014
500,27,0.011
