RESOLUTION,ERROR
1700,0.005002900088534192
900,0.005084429160751875
450,0.004810936578063058
650,0.004698733755514477
1850,0.0049571598493830535
1500,0.004703243793394578
1100,0.004924962401568226
250,0.005353140024084496
1300,0.004783318371204136
1950,0.004725238123250989
750,0.004705873860102095
1400,0.004696250972908441
800,0.004879071267991779
1600,0.00484877122388473
550,0.004896900752711609
150,0.005303753392892996
1200,0.004907412939571185
1000,0.004923470217512803
350,0.005350254419676997
1150,0.004777631261388521
200,0.004921687474009235
1350,0.0052112228817971906
1750,0.004983093617854148
950,0.004697086192549083
400,0.004835644804413414
600,0.00479927533534735
1800,0.0052004499695672435
1550,0.004951908912206996
100,0.00883204556366563
1250,0.005016718160423136
1050,0.004783733477543393
300,0.005084601700680225
1900,0.005214239045857209
700,0.004883657405658462
1450,0.005000902807894663
850,0.004669589332991341
1650,0.004940974120287667
500,0.004900363106497922
