RESOLUTION,ERROR
1700,0.009886032231535873
900,0.009631402767290496
450,0.009327350445657127
650,0.009415519176656896
1850,0.009691885333242766
1500,0.009430003398948035
1100,0.009601439659393321
250,0.00925310078640791
1300,0.00944535048795629
1950,0.009602109107603464
750,0.009274428845877654
1400,0.0094139980795105
800,0.009568150296758168
1600,0.009607636455644773
550,0.009561497861600808
150,0.009701221940375112
1200,0.009623445163289373
1000,0.009526457315346189
350,0.0094762772555218
1150,0.009431958295799849
200,0.00870636010905058
1350,0.00981791255061212
1750,0.009645056762696532
950,0.009517328565059375
400,0.009380017872567661
600,0.00934274556881096
1800,0.009871253686429757
1550,0.009677099369450022
100,0.009971781060350437
1250,0.009739185189712687
1050,0.009474448283592092
300,0.009574194950537976
1900,0.009741260417109597
700,0.009677308709126684
1450,0.009803879531421075
850,0.009372037948143406
1650,0.009615324130818259
500,0.009311492872297353
