RESOLUTION,ERROR
1700,0.02595048384932749
900,0.02877070008043253
450,0.026937814758648683
650,0.022562970415896236
1850,0.022057463446859236
1500,0.022322329945268463
1100,0.021351799612636172
250,0.017324469551565663
1300,0.02250592224409931
1950,0.022979583604242414
750,0.01913728381300918
1400,0.022765802613208243
800,0.022605342499871704
1600,0.02506003143201961
550,0.02313617167794417
150,0.016424667529016574
1200,0.02297532536173856
1000,0.023061909106043048
350,0.019197975153903667
1150,0.03503124442784762
200,0.018303599633419466
1350,0.028778467814631843
1750,0.023934731507018185
950,0.020903868061761935
400,0.023062569442847583
600,0.024261716473418963
1800,0.02677582903717797
1550,0.02290417155393619
100,0.015829109002681314
1250,0.02556106889072556
1050,0.04026805007822262
300,0.02259541526681785
1900,0.02534726103346224
700,0.01993651963094816
1450,0.027098895950534326
850,0.023694966808246436
1650,0.021162451689508432
500,0.020269785264565743
