RESOLUTION,ERROR,ERROR RATE
1700,66,0.002
900,1,0.0
450,0,0.0
650,18,0.004
1850,133,0.004
1500,31,0.001
1100,40,0.003
250,35,0.056
1300,73,0.004
1950,67,0.002
750,35,0.006
1400,43,0.002
800,2,0.0
1600,12,0.0
550,11,0.004
150,34,0.151
1200,53,0.004
1000,20,0.002
350,30,0.024
1150,30,0.002
200,0,0.0
1350,35,0.002
1750,107,0.003
950,12,0.001
400,2,0.001
600,3,0.001
1800,87,0.003
1550,83,0.003
100,0,0.0
1250,38,0.002
1050,21,0.002
300,1,0.001
1900,68,0.002
700,7,0.001
1450,44,0.002
850,8,0.001
1650,84,0.003
500,3,0.001
