RESOLUTION,ERROR
1700,0.008218374100479205
900,0.008266817552013955
450,0.007857489828347785
650,0.007986190292306397
1850,0.00818062181451993
1500,0.007898960841418712
1100,0.008170377926963086
250,0.009318335686484982
1300,0.008076711423925964
1950,0.008167576096317191
750,0.007843803975801181
1400,0.007956024695105618
800,0.007932210760094096
1600,0.007999946036861686
550,0.008132507382911274
150,0.008275229016236896
1200,0.008152565199407148
1000,0.008210687929912799
350,0.008821178839442315
1150,0.008309456017906017
200,0.007527207706716064
1350,0.008338028593035066
1750,0.008183715633801566
950,0.007971839535800884
400,0.007966207003794338
600,0.008014994103648273
1800,0.008364403472161807
1550,0.0082069924231471
100,0.01228445440303326
1250,0.008167651201080319
1050,0.008322500427155044
300,0.007979123542561794
1900,0.008256708097554617
700,0.007981484735357662
1450,0.008245834320220509
850,0.007992634663876584
1650,0.008215570752461909
500,0.008091582628999321
