RESOLUTION,ERROR
1700,0.014319729075091282
900,0.014069199437530088
450,0.013547970754922483
650,0.013823003010985581
1850,0.013980304564184906
1500,0.013985914294862008
1100,0.013896714767737428
250,0.01393223459228894
1300,0.01395795316059741
1950,0.014117837026672778
750,0.013615888969330242
1400,0.013870579697291576
800,0.01368079812119849
1600,0.013823434392603452
550,0.013746013961269876
150,0.013107892452785324
1200,0.013867286606700616
1000,0.013806143281923804
350,0.013842297272569293
1150,0.014039273153230445
200,0.012003330867246751
1350,0.014122858076207025
1750,0.013965775616900242
950,0.014097424246218782
400,0.013353577521503077
600,0.013810945676793935
1800,0.014272751775644297
1550,0.013993934224590197
100,0.014324989048689576
1250,0.014125915062498386
1050,0.014135077541919129
300,0.013356789357856063
1900,0.014087098003213628
700,0.013914574641366318
1450,0.014102461795813124
850,0.01392621179961351
1650,0.013907238651962242
500,0.013613978505722378
