RESOLUTION,ERROR
1700,0.0006557281555863789
900,0.0006587552102400888
450,0.0006913786619523899
650,0.0006544186868367798
1850,0.0006758123727747093
1500,0.0006555564296429154
1100,0.0006779147526945512
250,0.000788010974453761
1300,0.0006876492188303989
1950,0.0006843432055909314
750,0.0006329452962454962
1400,0.0006700225144020313
800,0.0006760998114545498
1600,0.0006339275726567504
550,0.0006820855811601093
150,0.0018692090834028772
1200,0.0006726674054207486
1000,0.0006788948765487161
350,0.0005442943691272817
1150,0.0006154956958280254
200,0.000557324956350146
1350,0.0006548347366606403
1750,0.0007078071111730638
950,0.0006109741256922784
400,0.0005655059896271365
600,0.0005795665420294396
1800,0.0006529332882316303
1550,0.0007136259369194772
100,0.0005364317526029595
1250,0.000635954488299657
1050,0.0006308947033177647
300,0.0005642089829397384
1900,0.0006477775656302615
700,0.000565197724395929
1450,0.0006788082958935942
850,0.0006082479591813525
1650,0.0006786066833426679
500,0.0006168196426750178
