RESOLUTION,ERROR,ERROR RATE
1700,29053,1.005
900,7776,0.96
450,1913,0.945
650,3954,0.936
1850,32506,0.95
1500,21135,0.939
1100,11296,0.934
250,618,0.989
1300,16135,0.955
1950,35976,0.946
750,5206,0.926
1400,17980,0.917
800,6139,0.959
1600,25366,0.991
550,2866,0.947
150,333,1.48
1200,13854,0.962
1000,9697,0.97
350,1144,0.934
1150,11978,0.906
200,365,0.912
1350,17365,0.953
1750,29833,0.974
950,8284,0.918
400,1418,0.886
600,3147,0.874
1800,31092,0.96
1550,23535,0.98
100,116,1.16
1250,14834,0.949
1050,10558,0.958
300,840,0.933
1900,34658,0.96
700,4238,0.865
1450,20455,0.973
850,6890,0.954
1650,25815,0.948
500,2191,0.876
