RESOLUTION,ERROR
1700,0.001489711360809531
900,0.0014778943768170548
450,0.0015766009379565523
650,0.00137888376571168
1850,0.0014915164447717641
1500,0.0014450030439971395
1100,0.0015918093045572497
250,0.001771249429852021
1300,0.001540947243383916
1950,0.0015421916530077933
750,0.001433030404640897
1400,0.001484354302321351
800,0.0015503964014895724
1600,0.0014220879312111727
550,0.0014774812554172515
150,0.002870925651495449
1200,0.0014494445595858566
1000,0.001483008164740995
350,0.0013963569734586243
1150,0.0013519244835491692
200,0.0013475489881883507
1350,0.0014866709468948525
1750,0.0016306044956370367
950,0.0014095440251253818
400,0.0013415787876047507
600,0.0013757138830255364
1800,0.0014582118506825256
1550,0.0016319210533382675
100,0.0012263842349256743
1250,0.0014125505623065182
1050,0.0014164994080204183
300,0.0012924277847773595
1900,0.0014826131889564584
700,0.0013229668416617072
1450,0.0014736568225889636
850,0.001327661198665155
1650,0.0015102135860205037
500,0.0014064000203786286
