RESOLUTION,ERROR,ERROR RATE
1700,41878,1.449
900,11409,1.409
450,2689,1.328
650,5865,1.388
1850,46656,1.363
1500,30894,1.373
1100,16263,1.344
250,851,1.362
1300,23204,1.373
1950,52153,1.372
750,7712,1.371
1400,26753,1.365
800,8718,1.362
1600,36371,1.421
550,4148,1.371
150,412,1.831
1200,20232,1.405
1000,14596,1.46
350,1640,1.339
1150,17466,1.321
200,546,1.365
1350,24854,1.364
1750,42662,1.393
950,12388,1.373
400,2114,1.321
600,4677,1.299
1800,45959,1.418
1550,32486,1.352
100,143,1.43
1250,21633,1.385
1050,15127,1.372
300,1230,1.367
1900,49526,1.372
700,6304,1.287
1450,29226,1.39
850,9967,1.38
1650,38030,1.397
500,3159,1.264
