RESOLUTION,ERROR
1700,0.006390009965915923
900,0.006371644803116806
450,0.006366997401008052
650,0.006328693286218965
1850,0.006351401803771914
1500,0.006219916422775728
1100,0.0062726277386499175
250,0.007724046264075354
1300,0.00636039385384553
1950,0.006363830645949095
750,0.006200670586306521
1400,0.00628073888106132
800,0.006494188686701642
1600,0.006518328381076775
550,0.006280844270538374
150,0.009871088394785071
1200,0.006331792778039781
1000,0.006290940042211515
350,0.00662079626584212
1150,0.006187866953343231
200,0.0061405803735463844
1350,0.006376873223156694
1750,0.006285145280167274
950,0.006170396939708208
400,0.006236213047549442
600,0.00625514454794994
1800,0.006378751890055794
1550,0.00628551389928067
100,0.0056361215464567705
1250,0.006405495860785584
1050,0.00617841810741261
300,0.006215457392627552
1900,0.006375623020079075
700,0.006250892217952357
1450,0.006337736958559455
850,0.006167530291827904
1650,0.006270777860560431
500,0.006250532565724632
