RESOLUTION,ERROR,ERROR RATE
1700,142001,4.914
900,40328,4.979
450,10120,4.998
650,21487,5.086
1850,177106,5.175
1500,111468,4.954
1100,62407,5.158
250,3248,5.197
1300,86963,5.146
1950,195978,5.154
750,27804,4.943
1400,99646,5.084
800,31541,4.928
1600,125355,4.897
550,15643,5.171
150,1309,5.818
1200,74346,5.163
1000,51033,5.103
350,6228,5.084
1150,62531,4.728
200,1964,4.91
1350,90599,4.971
1750,157890,5.156
950,43195,4.786
400,7871,4.919
600,17608,4.891
1800,160594,4.957
1550,123338,5.134
100,447,4.47
1250,76689,4.908
1050,52451,4.757
300,4445,4.939
1900,180870,5.01
700,23972,4.892
1450,105521,5.019
850,35151,4.865
1650,140277,5.153
500,12201,4.88
