RESOLUTION,ERROR
1700,0.02483221031782071
900,0.02908717525399724
450,0.023579758511787754
650,0.022332552228368427
1850,0.019571395196093938
1500,0.02073323511944653
1100,0.02252970783059286
250,0.016947949050164425
1300,0.02136654394843579
1950,0.020812079891895333
750,0.017482368144408886
1400,0.021337472920913293
800,0.02400409125690479
1600,0.02613752991761947
550,0.01931889743385871
150,0.015402801404733954
1200,0.018974561446973525
1000,0.02222493487220723
350,0.019500440678684235
1150,0.022758833557977358
200,0.01932511160048096
1350,0.02833208322991992
1750,0.023896267449682027
950,0.020103744192040425
400,0.021956400185393837
600,0.020451631046314495
1800,0.026078410522425457
1550,0.02479181744623447
100,0.015829109002681314
1250,0.02605007040089213
1050,0.04612079911461138
300,0.021178736547144552
1900,0.03219342807104233
700,0.022853690012116314
1450,0.0251048675606718
850,0.021063315747914486
1650,0.020483084929651136
500,0.02102933909130369
