RESOLUTION,ERROR,ERROR RATE
1700,796,0.028
900,214,0.026
450,31,0.015
650,87,0.021
1850,1504,0.044
1500,729,0.032
1100,416,0.034
250,36,0.058
1300,612,0.036
1950,1396,0.037
750,136,0.024
1400,641,0.033
800,104,0.016
1600,512,0.02
550,51,0.017
150,61,0.271
1200,472,0.033
1000,234,0.023
350,39,0.032
1150,319,0.024
200,3,0.007
1350,480,0.026
1750,1016,0.033
950,196,0.022
400,25,0.016
600,76,0.021
1800,983,0.03
1550,741,0.031
100,0,0.0
1250,395,0.025
1050,307,0.028
300,8,0.009
1900,1321,0.037
700,108,0.022
1450,672,0.032
850,170,0.024
1650,1058,0.039
500,41,0.016
