RESOLUTION,ERROR
1700,0.00819181711222975
900,0.008251123975775477
450,0.007876618857347665
650,0.007984880215312753
1850,0.008176101936771664
1500,0.00792661364366015
1100,0.00815971124822163
250,0.009281545781637649
1300,0.008056511824414029
1950,0.008079915708926171
750,0.00783628695499888
1400,0.007997861892505332
800,0.008106801370696021
1600,0.00807687082229711
550,0.008092950547802909
150,0.00812556064152925
1200,0.008075416710906313
1000,0.008193349403424697
350,0.008737674504558417
1150,0.008323489681758584
200,0.007692731986082401
1350,0.008318999405191499
1750,0.008205117956605345
950,0.00805727813054377
400,0.008034956709711393
600,0.008006695976107555
1800,0.008358325940985477
1550,0.008257875728192364
100,0.01228445440303326
1250,0.008154107821757624
1050,0.008367841084541843
300,0.008083853360201529
1900,0.008306365793627648
700,0.008077328580921465
1450,0.008226842377513867
850,0.007949582083717545
1650,0.008193938039584667
500,0.00802136227040821
