RESOLUTION,ERROR
1700,0.014398150037469278
900,0.014071622677431218
450,0.013662397988414432
650,0.01379569417077914
1850,0.014093162138983968
1500,0.014080991107519878
1100,0.013890286127005763
250,0.014137878264881729
1300,0.014014468758957222
1950,0.01414731193740278
750,0.013719213417467006
1400,0.01397762005804756
800,0.013886150556795056
1600,0.013941727942374228
550,0.013841153063045376
150,0.012706247316391339
1200,0.013963472407187092
1000,0.013870450930059985
350,0.013773133357536983
1150,0.014381515288073146
200,0.01227560100409027
1350,0.014202292953681807
1750,0.014098593047086376
950,0.014296994928792146
400,0.013505693672387445
600,0.013858806080809529
1800,0.014315846292059184
1550,0.0141003843795168
100,0.014328070384838408
1250,0.014191722530656682
1050,0.01426177555035828
300,0.013745161880798069
1900,0.014204727853789446
700,0.014048262125021537
1450,0.014260352123793202
850,0.014045694937670378
1650,0.013985722812352405
500,0.0137455135015331
