RESOLUTION,ERROR
1700,0.009646521183083097
900,0.009201928118789598
450,0.008437384451825783
650,0.00854629418676301
1850,0.008971723324062432
1500,0.008736159918367358
1100,0.009347949291536903
250,0.007760014063680999
1300,0.009220737258605526
1950,0.009180545047688187
750,0.008326306594606581
1400,0.008864707901464647
800,0.008212815051211983
1600,0.009262757688168583
550,0.008521335682613545
150,0.00664324812100345
1200,0.008936419437974215
1000,0.008803130972463647
350,0.009552673692182734
1150,0.010642503744709148
200,0.008470528374486322
1350,0.008835895934314244
1750,0.009229764195528917
950,0.009175046049446897
400,0.009338665489205568
600,0.00883689244683407
1800,0.009011132072422318
1550,0.009638924523148478
100,0.009071645526541857
1250,0.00965656892949144
1050,0.009739330604975473
300,0.007806505164471167
1900,0.008887624455585717
700,0.009142811070268202
1450,0.008931917720420847
850,0.008843276421697665
1650,0.009008681948417573
500,0.008706320303145637
