RESOLUTION,ERROR,ERROR RATE
1700,2,0.0
900,10,0.001
450,2,0.001
650,15,0.004
1850,81,0.002
1500,119,0.005
1100,11,0.001
250,56,0.09
1300,49,0.003
1950,105,0.003
750,33,0.006
1400,83,0.004
800,0,0.0
1600,0,0.0
550,4,0.001
150,5,0.022
1200,27,0.002
1000,7,0.001
350,44,0.036
1150,186,0.014
200,0,0.0
1350,23,0.001
1750,43,0.001
950,92,0.01
400,5,0.003
600,10,0.003
1800,48,0.001
1550,15,0.001
100,0,0.0
1250,1,0.0
1050,132,0.012
300,1,0.001
1900,34,0.001
700,9,0.002
1450,19,0.001
850,59,0.008
1650,24,0.001
500,4,0.002
