RESOLUTION,ERROR
1700,0.003213036606040672
900,0.0031976546150414226
450,0.0031122011383754914
650,0.003153665900924829
1850,0.003290267523910845
1500,0.0031635669304614887
1100,0.0032508843834534746
250,0.0033632374132696757
1300,0.0032926746964751477
1950,0.0032972048493934603
750,0.003164204426934194
1400,0.003230931665814366
800,0.003000003368427851
1600,0.0030579384197372103
550,0.0032164416617389007
150,0.0030987143703700673
1200,0.0032765216576593897
1000,0.0032383625319753547
350,0.0032305129072668468
1150,0.003117273190835378
200,0.002898639852182131
1350,0.003188581653503901
1750,0.0032854914477487606
950,0.003093465372968511
400,0.0029165370739235993
600,0.0029906419210409714
1800,0.003198452315911946
1550,0.003250745342021628
100,0.007769035880580508
1250,0.003193428773936926
1050,0.003092838174230549
300,0.003158418982791275
1900,0.0032168934814926138
700,0.002984012808905748
1450,0.003208231972013754
850,0.003069910783387877
1650,0.003249335695081899
500,0.003061144781208836
