RESOLUTION,ERROR
1700,0.0077853022678505334
900,0.007648647068369479
450,0.007247050183224371
650,0.007644743836835007
1850,0.007885156436386246
1500,0.007752381609903604
1100,0.007760135361820187
250,0.006633733079236684
1300,0.007836033216128318
1950,0.007932556998209994
750,0.007451671994455981
1400,0.007694705364351692
800,0.0073927749142800895
1600,0.0075182792845998265
550,0.007677186495669829
150,0.006337657867105692
1200,0.007815062108643694
1000,0.00761441452171616
350,0.007062296403064657
1150,0.007459287719771021
200,0.006176369957409512
1350,0.007702697313745317
1750,0.00782630878199431
950,0.007595005421851878
400,0.006936233250042305
600,0.007226999493687413
1800,0.007816984053740544
1550,0.007780997119407447
100,0.00849222932515937
1250,0.007594428678965494
1050,0.007627057720156252
300,0.00702870916156071
1900,0.007703903410981163
700,0.007316404554757025
1450,0.007759452413808613
850,0.0075324094100306885
1650,0.0077247694395697385
500,0.007114095461999941
