RESOLUTION,ERROR
1700,0.0004807993931985223
900,0.0005445480393111697
450,0.0005452386559340697
650,0.0005363629071887482
1850,0.0005772434468487082
1500,0.0005359422913022789
1100,0.0005641865694534301
250,0.00040474528264381
1300,0.000493257735747261
1950,0.0005075412574882411
750,0.0005121100163726335
1400,0.0005169363617232911
800,0.0005084109189614425
1600,0.0005571183592555111
550,0.0005234696801319416
150,0.0004151402689469342
1200,0.0005380879345137917
1000,0.0005431485348881365
350,0.0003926105644545381
1150,0.000498895622006023
200,0.0004352621382110069
1350,0.0005384023649016692
1750,0.0005130318692729359
950,0.0005109448438963213
400,0.0004109254275851357
600,0.0004156624601521235
1800,0.0005505380779445633
1550,0.0005378633798654003
100,0.0004242058492888568
1250,0.0005047888618536055
1050,0.0004977561884669424
300,0.00042071931934580366
1900,0.0005132574833826389
700,0.00043732092448295785
1450,0.000518930805026299
850,0.00047630156816561194
1650,0.0005158590559769592
500,0.00041256580762069373
