RESOLUTION,ERROR,ERROR RATE
1700,23892,0.827
900,6717,0.829
450,1563,0.772
650,3076,0.728
1850,26221,0.766
1500,17295,0.769
1100,10009,0.827
250,494,0.79
1300,12430,0.736
1950,30064,0.791
750,4181,0.743
1400,14880,0.759
800,5482,0.857
1600,21546,0.842
550,2279,0.753
150,186,0.827
1200,11279,0.783
1000,7716,0.772
350,873,0.713
1150,9504,0.719
200,320,0.8
1350,14485,0.795
1750,23536,0.769
950,6792,0.753
400,1137,0.711
600,2475,0.688
1800,28214,0.871
1550,19613,0.816
100,75,0.75
1250,12234,0.783
1050,8155,0.74
300,638,0.709
1900,27608,0.765
700,3449,0.704
1450,17216,0.819
850,5427,0.751
1650,20163,0.741
500,1761,0.704
