RESOLUTION,ERROR
1700,0.0013066691359617604
900,0.0014118146189018809
450,0.0014535065797820546
650,0.001431236747745587
1850,0.0014463490765297253
1500,0.0014022594283445728
1100,0.0014666043307518144
250,0.001172582956588589
1300,0.0012962332870888524
1950,0.0013422761387545845
750,0.0013815383563757712
1400,0.0013516849648597562
800,0.001358279077563591
1600,0.001477586427391521
550,0.0014064899321202043
150,0.001138804934138723
1200,0.0013599021877489068
1000,0.0014300079462605155
350,0.001098013513210373
1150,0.0014035360977451784
200,0.0012686655445159488
1350,0.0014069913745883194
1750,0.001332255428169021
950,0.0014104298923385548
400,0.0012015353829953283
600,0.0011636536773767644
1800,0.0013862864859903968
1550,0.0014146450384312746
100,0.0011864872389788863
1250,0.0013395662551891376
1050,0.0013654265537667092
300,0.0012139779926353949
1900,0.0013916561195703523
700,0.0012374016747314076
1450,0.0013898463099634639
850,0.0013338154412335574
1650,0.0013498651995150059
500,0.001127776365551788
