RESOLUTION,ERROR,ERROR RATE
1700,40034,1.385
900,10687,1.319
450,2618,1.293
650,4917,1.164
1850,43339,1.266
1500,27821,1.236
1100,15973,1.32
250,889,1.422
1300,19937,1.18
1950,49066,1.29
750,6750,1.2
1400,23534,1.201
800,8242,1.288
1600,33373,1.304
550,3889,1.286
150,252,1.12
1200,18189,1.263
1000,12701,1.27
350,1572,1.283
1150,16746,1.266
200,510,1.275
1350,22890,1.256
1750,37437,1.222
950,11470,1.271
400,1809,1.131
600,4073,1.131
1800,45481,1.404
1550,32342,1.346
100,118,1.18
1250,20761,1.329
1050,13056,1.184
300,1142,1.269
1900,46259,1.281
700,5649,1.153
1450,28924,1.376
850,8972,1.242
1650,34209,1.257
500,3033,1.213
