RESOLUTION,ERROR
1700,0.006038004457220371
900,0.005978768994864085
450,0.005964801360412739
650,0.0061708651666200764
1850,0.006142448728082323
1500,0.0061102312071284245
1100,0.006079786584459556
250,0.005880581463388174
1300,0.006172877328995343
1950,0.006171235335072123
750,0.006073750124461839
1400,0.00615642607992038
800,0.006065268633440518
1600,0.00608143825621091
550,0.006113197668511452
150,0.00668649500561985
1200,0.0061363650297675525
1000,0.0059916860043971315
350,0.00554450269666855
1150,0.005838878355888956
200,0.005781858853974464
1350,0.005985351163653028
1750,0.0061060492493080236
950,0.005913674132796581
400,0.005757636469266494
600,0.005735640397918097
1800,0.0059885188894888515
1550,0.006005380721378396
100,0.005274396125218803
1250,0.006044543553595209
1050,0.00587955021769298
300,0.005792200403048692
1900,0.005970092374059971
700,0.00573077614339204
1450,0.005971072892454023
850,0.00597457996442488
1650,0.006068819877816537
500,0.005742441338703322
