RESOLUTION,ERROR,ERROR RATE
1700,138185,4.781
900,38412,4.742
450,9604,4.743
650,20439,4.838
1850,164848,4.817
1500,109674,4.874
1100,58000,4.793
250,3215,5.144
1300,81417,4.818
1950,183155,4.817
750,27492,4.887
1400,94909,4.842
800,30571,4.777
1600,122296,4.777
550,14519,4.8
150,1300,5.778
1200,69324,4.814
1000,47394,4.739
350,5842,4.769
1150,65572,4.958
200,1908,4.77
1350,86373,4.739
1750,146849,4.795
950,44612,4.943
400,7670,4.794
600,17315,4.81
1800,153543,4.739
1550,114102,4.749
100,443,4.43
1250,74571,4.773
1050,54602,4.953
300,4323,4.803
1900,171465,4.75
700,23564,4.809
1450,99899,4.751
850,35652,4.935
1650,130272,4.785
500,12007,4.803
