RESOLUTION,ERROR
1700,0.009111872806600066
900,0.008572921939240545
450,0.008176679230410969
650,0.00780531089361739
1850,0.008528576364445026
1500,0.009970508247813082
1100,0.008577558895828145
250,0.006956206106919432
1300,0.008506914365007308
1950,0.00884546982287894
750,0.008049169648806774
1400,0.008539573182035708
800,0.008130504309000145
1600,0.00941480556468589
550,0.007691976855778704
150,0.006813879233884846
1200,0.008190737853205635
1000,0.008288361884494569
350,0.00784209226708123
1150,0.008709529624719221
200,0.007540824678514257
1350,0.008424340076674648
1750,0.009308919930588888
950,0.008963801310581321
400,0.009499677325796046
600,0.009184072002730987
1800,0.008530982784012231
1550,0.008620221868691373
100,0.009071645526541857
1250,0.009573331241484852
1050,0.009470028378624729
300,0.007840105889036355
1900,0.008491185259525844
700,0.01067272557616104
1450,0.008243333271631924
850,0.00853311581215217
1650,0.008553646022553757
500,0.008962549626476348
