RESOLUTION,ERROR,ERROR RATE
1700,1869,0.065
900,433,0.053
450,38,0.019
650,152,0.036
1850,2150,0.063
1500,1256,0.056
1100,538,0.044
250,58,0.093
1300,894,0.053
1950,1931,0.051
750,240,0.043
1400,1069,0.055
800,273,0.043
1600,1203,0.047
550,98,0.032
150,68,0.302
1200,733,0.051
1000,499,0.05
350,53,0.043
1150,710,0.054
200,2,0.005
1350,1168,0.064
1750,1633,0.053
950,500,0.055
400,18,0.011
600,88,0.024
1800,2272,0.07
1550,1284,0.053
100,0,0.0
1250,1081,0.069
1050,558,0.051
300,9,0.01
1900,2448,0.068
700,110,0.022
1450,1347,0.064
850,351,0.049
1650,1544,0.057
500,49,0.02
