RESOLUTION,ERROR
1700,0.0032070239371558384
900,0.003199819506857227
450,0.0031819900721827537
650,0.0031463963898457226
1850,0.0032853886663331932
1500,0.0031904484567308582
1100,0.003208967582019317
250,0.0032481745285406678
1300,0.00321497042612785
1950,0.00325131977541838
750,0.003177489575929115
1400,0.003245561789108284
800,0.0030280134118963924
1600,0.0030905273216273515
550,0.003257140996878992
150,0.003075921428282708
1200,0.0032797011512945384
1000,0.0032005824711066485
350,0.003159663159803702
1150,0.0031556956992120555
200,0.002946796649205103
1350,0.003205297214318126
1750,0.003281562090991372
950,0.0032047020359959543
400,0.002989371510393251
600,0.003034365125883795
1800,0.003199945456140722
1550,0.00327762353900436
100,0.007769035880580508
1250,0.003200603906977081
1050,0.0031203604656306603
300,0.0032194422315635816
1900,0.003230639922481191
700,0.003022136651404045
1450,0.0032621369395935693
850,0.0031587545731030296
1650,0.0032647049534094102
500,0.0031271916170019154
