RESOLUTION,ERROR
1700,0.007960729124075139
900,0.007808322163741907
450,0.007487467933751509
650,0.0077478270152853464
1850,0.008067241478334519
1500,0.007913055425114732
1100,0.007837875082484635
250,0.006743716592579705
1300,0.007938785909955016
1950,0.008003333049245626
750,0.007614509048911798
1400,0.00788592375345378
800,0.007638788114658802
1600,0.00767637744286652
550,0.008010195907648085
150,0.0067163864528238335
1200,0.008058300247891316
1000,0.007742342748406125
350,0.007118071430505467
1150,0.007736466579424368
200,0.006344109824473006
1350,0.007875833098771124
1750,0.008010920368651534
950,0.007951532011558196
400,0.007242459344757672
600,0.007366510112819525
1800,0.007942553907899105
1550,0.007996522506322152
100,0.008483972151103358
1250,0.0077564863445605545
1050,0.007764583190227287
300,0.0073303689656163615
1900,0.00791811710631375
700,0.007625925519045756
1450,0.00804724667855756
850,0.0078027095066211406
1650,0.007925014420448784
500,0.007298504805019069
