RESOLUTION,ERROR
1700,0.013980469628968874
900,0.014664379680925741
450,0.010445814021818114
650,0.00906514214789233
1850,0.00893647151921651
1500,0.017538338408803086
1100,0.010245339941947863
250,0.006919020473485742
1300,0.010535803212070564
1950,0.014598374316654911
750,0.009243105844997946
1400,0.013438789954764878
800,0.0173123640065307
1600,0.014263200291830798
550,0.011641383179291172
150,0.005575677856980412
1200,0.009243199532712918
1000,0.011343208566055802
350,0.007484766958891547
1150,0.008485076517064772
200,0.005684095088032216
1350,0.015783274848994545
1750,0.012172225849203744
950,0.0262985373544218
400,0.006777708850963649
600,0.007331936133143978
1800,0.015833831273955812
1550,0.013211740245921377
100,0.006041360792481466
1250,0.013909919849164643
1050,0.008267039900372971
300,0.005061129129449918
1900,0.012937024558157404
700,0.007358830446561405
1450,0.012997319227317318
850,0.011714099534269962
1650,0.010110675460280326
500,0.007005160198163206
