RESOLUTION,ERROR
1700,0.002157361463904073
900,0.0021708959644844068
450,0.0021101899478943235
650,0.002133099876522655
1850,0.002197906445638823
1500,0.002162695376601336
1100,0.002185870669829086
250,0.0023834945005402875
1300,0.0021895446173610875
1950,0.0022147705381635797
750,0.002155284270689263
1400,0.0021788945337369706
800,0.0020546454596782216
1600,0.0020874929184828347
550,0.002202060391288574
150,0.0022825230973135425
1200,0.00218102848704326
1000,0.002179335613410318
350,0.0021483685281941172
1150,0.0020915238686711932
200,0.0019369479253844588
1350,0.002166383416568231
1750,0.0022066331847489682
950,0.0021340500652561392
400,0.0019353476442845188
600,0.001988489495578721
1800,0.0021792958160140696
1550,0.002217901988337081
100,0.005064351725458065
1250,0.002148643209327987
1050,0.0020682869125439895
300,0.0019952427241688646
1900,0.0021947900376185336
700,0.001981116669000438
1450,0.0021943637738642517
850,0.0021258820024091588
1650,0.002206267649761877
500,0.0020168045444792643
