RESOLUTION,ERROR
1700,0.005069976061524669
900,0.005007061135272974
450,0.004731080829146977
650,0.004908149589833087
1850,0.005082744810132295
1500,0.0049829969414130065
1100,0.005020913523265445
250,0.004591067017516108
1300,0.0050328178342747935
1950,0.005095712267557839
750,0.004824843109418857
1400,0.004964925812355236
800,0.004885042463607114
1600,0.004928427903409699
550,0.005014091762330128
150,0.004711920384342325
1200,0.005039838870192344
1000,0.00496341207269729
350,0.004646133250413891
1150,0.004775963591547379
200,0.004075175069642308
1350,0.005032998014945521
1750,0.005056315990234235
950,0.004876499477257325
400,0.004662670740239728
600,0.004774792645162887
1800,0.005098128252203703
1550,0.00508618356250837
100,0.005037005282274001
1250,0.0049622437486956175
1050,0.004867100762466155
300,0.004775976498874477
1900,0.005017144224316611
700,0.0048446679949540935
1450,0.00505839006600352
850,0.004871124667557858
1650,0.005024754719491222
500,0.004686238548911446
