RESOLUTION,ERROR
1700,0.00025882019771114476
900,0.00027407997813071644
450,0.0002614645143156474
650,0.0002550054903518079
1850,0.00026043261184730026
1500,0.00026066238663242767
1100,0.0002650486433683034
250,0.00023853915153190932
1300,0.00027732475529942567
1950,0.0002728489725334754
750,0.00025501747154957127
1400,0.000249613067546831
800,0.0002681837299481672
1600,0.00027170190616214413
550,0.00026949161437896194
150,0.00021026695979678672
1200,0.00026690955584779646
1000,0.0002780428535715468
350,0.00020749990750966213
1150,0.000235111667566612
200,0.00025895948304001083
1350,0.0002590130915439183
1750,0.0002397167578622848
950,0.00025260333718323566
400,0.0002548828775090522
600,0.0002558505529206719
1800,0.00025680986293165814
1550,0.00025528796332582664
100,0.00024343597841211697
1250,0.00025424728201328575
1050,0.0002457955773189326
300,0.00024156119648254893
1900,0.0002734245314819879
700,0.00022554964558232058
1450,0.0002620411621471242
850,0.00026108605859001956
1650,0.00025876286859318306
500,0.00023714885784599328
