RESOLUTION,ERROR,ERROR RATE
1700,11046,0.382
900,3349,0.413
450,801,0.396
650,1647,0.39
1850,13980,0.408
1500,8655,0.385
1100,4811,0.398
250,195,0.312
1300,6908,0.409
1950,15295,0.402
750,2205,0.392
1400,7816,0.399
800,2526,0.395
1600,9810,0.383
550,1235,0.408
150,75,0.333
1200,5684,0.395
1000,3990,0.399
350,395,0.322
1150,5111,0.386
200,156,0.39
1350,7431,0.408
1750,12172,0.397
950,3551,0.393
400,615,0.384
600,1438,0.399
1800,12744,0.393
1550,9161,0.381
100,31,0.31
1250,6344,0.406
1050,4277,0.388
300,332,0.369
1900,14650,0.406
700,1762,0.36
1450,8575,0.408
850,2787,0.386
1650,11247,0.413
500,939,0.376
