RESOLUTION,ERROR
1700,0.0008948489714569509
900,0.000880793757202035
450,0.000855050795601535
650,0.0008469195596771488
1850,0.0009091280095825373
1500,0.000852439177875934
1100,0.0008803203029457872
250,0.0009122733637817216
1300,0.0009084014868004939
1950,0.000886958647225326
750,0.0008474793389386764
1400,0.000828988466074512
800,0.0008927761610823137
1600,0.0009031986231384464
550,0.0009107347211743975
150,0.0007693014437399388
1200,0.000877638176013419
1000,0.0009331262558438392
350,0.0007923348373901747
1150,0.0007890505877964639
200,0.0008794432475445515
1350,0.0009027643114521063
1750,0.0008110750532309599
950,0.0008129990642443825
400,0.0008608035252344845
600,0.0008529430586102484
1800,0.0008543512556110278
1550,0.0008498154836809985
100,0.0008410063265898743
1250,0.000872460824185333
1050,0.0008230998656353965
300,0.000821286046031488
1900,0.0009043787106229564
700,0.0008032950217610267
1450,0.000904301071786817
850,0.0008442778310044062
1650,0.0008631259375503344
500,0.000817947183752364
