RESOLUTION,ERROR,ERROR RATE
1700,16655,0.576
900,5249,0.648
450,1300,0.642
650,2657,0.629
1850,20455,0.598
1500,13632,0.606
1100,7489,0.619
250,329,0.526
1300,10878,0.644
1950,22603,0.594
750,3597,0.639
1400,12617,0.644
800,4169,0.651
1600,15972,0.624
550,1891,0.625
150,118,0.524
1200,8838,0.614
1000,6176,0.618
350,682,0.557
1150,7855,0.594
200,253,0.632
1350,12141,0.666
1750,18834,0.615
950,5415,0.6
400,970,0.606
600,2281,0.634
1800,20068,0.619
1550,15240,0.634
100,48,0.48
1250,9872,0.632
1050,6449,0.585
300,559,0.621
1900,22987,0.637
700,2940,0.6
1450,13517,0.643
850,4207,0.582
1650,17609,0.647
500,1489,0.596
