RESOLUTION,ERROR
1700,0.005156330145352753
900,0.005131517590009937
450,0.005113008969690254
650,0.005030770856582887
1850,0.005052976433384941
1500,0.005017840846643318
1100,0.005082997060634154
250,0.004975914972104989
1300,0.005038171569426379
1950,0.0050413788906039265
750,0.005004080076419893
1400,0.005026846113519392
800,0.005195468175117612
1600,0.005204360542994393
550,0.005060191613352118
150,0.005122999262890697
1200,0.005055323668520364
1000,0.00510734631146219
350,0.004890217160922604
1150,0.004956618223002292
200,0.004730675038168315
1350,0.005134531691128982
1750,0.005069129307752678
950,0.004971502674525565
400,0.004804151942911111
600,0.004817867370650401
1800,0.0051362494284888415
1550,0.005102095700536729
100,0.004401583060247495
1250,0.005161667416557706
1050,0.004963458262831083
300,0.00479384013069381
1900,0.005120462094860862
700,0.004823228710869614
1450,0.005115574394351573
850,0.004983289393128831
1650,0.005088288271968122
500,0.004813098158786887
