RESOLUTION,ERROR,ERROR RATE
1700,117026,4.049
900,32615,4.027
450,8130,4.015
650,16888,3.997
1850,135471,3.958
1500,90260,4.012
1100,47959,3.964
250,2459,3.934
1300,67012,3.965
1950,150622,3.961
750,22624,4.022
1400,78371,3.999
800,26109,4.08
1600,104534,4.083
550,12045,3.982
150,867,3.853
1200,57035,3.961
1000,39807,3.981
350,4919,4.016
1150,54199,4.098
200,1642,4.105
1350,73418,4.028
1750,121255,3.959
950,36754,4.072
400,6558,4.099
600,14773,4.104
1800,130522,4.028
1550,95504,3.975
100,379,3.79
1250,63306,4.052
1050,44981,4.08
300,3696,4.107
1900,144206,3.995
700,20060,4.094
1450,83907,3.991
850,29345,4.062
1650,107760,3.958
500,10261,4.104
