RESOLUTION,ERROR
1700,0.012082433112470346
900,0.01660950123324352
450,0.0098038655262509
650,0.00902272384386948
1850,0.009203512696327899
1500,0.013005573686179968
1100,0.010071806617774784
250,0.0069507081084139695
1300,0.011859094525599145
1950,0.013226489274384511
750,0.008940301840694857
1400,0.0110197190452986
800,0.01355671089958909
1600,0.012129018859796652
550,0.010975894920089648
150,0.0056053227803932
1200,0.010870068120103465
1000,0.01055219222917974
350,0.007039919327012979
1150,0.007882986444727283
200,0.005320343831412012
1350,0.012099192838680954
1750,0.010425667649179059
950,0.022789544340930543
400,0.0062135062905609925
600,0.006634494468661608
1800,0.013644330852580768
1550,0.01082764637505816
100,0.006041360792481466
1250,0.012854674464111798
1050,0.007978959988310197
300,0.005420716901991795
1900,0.012612512165785128
700,0.006541952453331523
1450,0.011575605880937085
850,0.010839552965755686
1650,0.010352468365365379
500,0.005308058041251444
