RESOLUTION,ERROR,ERROR RATE
1700,833,0.029
900,204,0.025
450,30,0.015
650,89,0.021
1850,1373,0.04
1500,741,0.033
1100,378,0.031
250,3,0.005
1300,489,0.029
1950,1147,0.03
750,107,0.019
1400,503,0.026
800,219,0.034
1600,930,0.036
550,43,0.014
150,3,0.013
1200,476,0.033
1000,224,0.022
350,15,0.012
1150,393,0.03
200,4,0.01
1350,518,0.028
1750,945,0.031
950,305,0.034
400,32,0.02
600,54,0.015
1800,976,0.03
1550,915,0.038
100,0,0.0
1250,552,0.035
1050,335,0.03
300,11,0.012
1900,1441,0.04
700,104,0.021
1450,591,0.028
850,178,0.025
1650,687,0.025
500,39,0.016
