RESOLUTION,ERROR
1700,0.0021093549884298847
900,0.002129840658888711
450,0.002081977629696156
650,0.0020920238987301
1850,0.0021685906735130225
1500,0.0021551944832757415
1100,0.0021631468863664103
250,0.0024204761561557753
1300,0.0021616593894007354
1950,0.0021653551921933653
750,0.0021454185000776343
1400,0.0021583187727682645
800,0.0020554250623631936
1600,0.00204909004968402
550,0.0021968488823266184
150,0.002294153753138477
1200,0.0021772179669987822
1000,0.002147365114337277
350,0.0021196757378024915
1150,0.002069621768163101
200,0.001963866252391577
1350,0.002134547022131254
1750,0.0021713984900413605
950,0.0021118008857750597
400,0.0019333792755809609
600,0.0019442087345217544
1800,0.0021238128287607017
1550,0.0021676473875558333
100,0.005064351725458065
1250,0.002131571494031857
1050,0.002037998840014252
300,0.0021111518593639558
1900,0.0021622999396942255
700,0.001987268285003162
1450,0.002152107572344766
850,0.0021100954439566247
1650,0.002205704803703339
500,0.0019638461187998827
