RESOLUTION,ERROR
1700,0.005125241306309862
900,0.0050231248340698595
450,0.00474232441065062
650,0.004944146572313527
1850,0.005175187009604055
1500,0.005075377997641207
1100,0.005043998684052189
250,0.004679980685452514
1300,0.00509068394237818
1950,0.005138748434066383
750,0.004898825495721502
1400,0.005026138112875653
800,0.004932996470991685
1600,0.004976861876127633
550,0.005074391508492006
150,0.004873962155031069
1200,0.005111893964954306
1000,0.004980125175949408
350,0.004749197859414985
1150,0.0048529693732698425
200,0.004239907178825559
1350,0.005064057138909677
1750,0.005112800431693094
950,0.004954744848943404
400,0.004678904202508864
600,0.00479699510925838
1800,0.005107011391577651
1550,0.005102481040462728
100,0.005037005282274001
1250,0.005014133161256101
1050,0.0049001967310665
300,0.00487686105400655
1900,0.005094078976622395
700,0.004960636385940401
1450,0.005120900071402333
850,0.0049178124536222705
1650,0.005083003209549634
500,0.004723638239711434
