RESOLUTION,ERROR
1700,0.020616266012083537
900,0.028525509130761892
450,0.026417079186615525
650,0.01959823228413085
1850,0.02462251392027485
1500,0.02067700935978034
1100,0.04798076745608834
250,0.020731279369253914
1300,0.019748867637263575
1950,0.020513575276817086
750,0.01634358598484383
1400,0.018812145393685743
800,0.019996307526015587
1600,0.023877498299197636
550,0.019449908265775823
150,0.019912847733376305
1200,0.01718375566989986
1000,0.024637689861913913
350,0.017911919922099517
1150,0.02197932269756013
200,0.01677940823755769
1350,0.021979963540903782
1750,0.020665563458476716
950,0.019938753488101247
400,0.016596185205121062
600,0.023108676887271272
1800,0.021833062832576102
1550,0.02493952741756854
100,0.01891524044700421
1250,0.022091745578305122
1050,0.0209036387913945
300,0.01655280245762015
1900,0.025884222907715287
700,0.023969370071547935
1450,0.026902649441171326
850,0.02225782480449154
1650,0.02650324940521983
500,0.017421320479211768
