RESOLUTION,ERROR,ERROR RATE
1700,46,0.002
900,11,0.001
450,1,0.0
650,9,0.002
1850,78,0.002
1500,34,0.002
1100,3,0.0
250,72,0.115
1300,33,0.002
1950,63,0.002
750,3,0.001
1400,35,0.002
800,20,0.003
1600,65,0.003
550,0,0.0
150,73,0.324
1200,27,0.002
1000,17,0.002
350,74,0.06
1150,31,0.002
200,0,0.0
1350,19,0.001
1750,21,0.001
950,43,0.005
400,2,0.001
600,16,0.004
1800,43,0.001
1550,51,0.002
100,0,0.0
1250,81,0.005
1050,27,0.002
300,5,0.006
1900,49,0.001
700,6,0.001
1450,30,0.001
850,5,0.001
1650,6,0.0
500,6,0.002
