RESOLUTION,ERROR
1700,0.006588429086792649
900,0.006726722235618644
450,0.0066710454435656525
650,0.006617812507421044
1850,0.006749629619315822
1500,0.006589440654828163
1100,0.006995820215996915
250,0.008305592757283271
1300,0.006645405967911258
1950,0.006738764722257974
750,0.006551195837762542
1400,0.0066672495285215174
800,0.006273437608538641
1600,0.006404099582715052
550,0.006870872953061823
150,0.008337344065127058
1200,0.006610024191598732
1000,0.006866896022247502
350,0.007020211461687965
1150,0.00669441624728062
200,0.006584178749776233
1350,0.0066966085749517
1750,0.006758343483035174
950,0.006475105827034468
400,0.006351496436401676
600,0.006381489153199206
1800,0.006700192800150521
1550,0.006989224759808881
100,0.01514338572078714
1250,0.006541919635085244
1050,0.00665094276700557
300,0.006758825878127184
1900,0.0069271609821949295
700,0.006342289325451123
1450,0.006832857066197959
850,0.006483997841624273
1650,0.00696003230668778
500,0.006476943218511286
