RESOLUTION,ERROR
1700,0.015867412967365845
900,0.016051502148989785
450,0.015430403895578117
650,0.015518337215370097
1850,0.015782010775045107
1500,0.015518986456609233
1100,0.015886889017567147
250,0.015641794352646912
1300,0.015676158245978903
1950,0.015732172119136387
750,0.015116281081963077
1400,0.015464432429789713
800,0.01526220339043215
1600,0.015326974793062997
550,0.015787640112440517
150,0.015831997332352486
1200,0.015698631240124914
1000,0.0157596328349685
350,0.015140193368203131
1150,0.015179091243879247
200,0.013372922427306873
1350,0.016012473652453986
1750,0.01580354194532627
950,0.015397984998917898
400,0.015157870152170084
600,0.015016707667210433
1800,0.01615945404163942
1550,0.016040714389149884
100,0.015994574069781876
1250,0.015509795775536465
1050,0.01539294308314708
300,0.015205857749963936
1900,0.016002092080000512
700,0.015209953207951848
1450,0.016074553088703352
850,0.015246882611224977
1650,0.01583117936268664
500,0.014800322839395396
