RESOLUTION,ERROR
1700,0.0013318765277102167
900,0.001195819799694829
450,0.0012213567263801948
650,0.0012316481048411363
1850,0.0012533914982806767
1500,0.0011891468543096535
1100,0.0012147077436247215
250,0.0011136179942586662
1300,0.0012190421489184557
1950,0.0012179971622969584
750,0.0011574032821175348
1400,0.0011819473031702908
800,0.0012752724301943982
1600,0.0012719689733862556
550,0.001160636715805732
150,0.002148030552161302
1200,0.0012320804510602356
1000,0.001218874035410686
350,0.0011061085443260731
1150,0.0012035374805249059
200,0.0013294129187576221
1350,0.0012830413985890883
1750,0.001176315193222047
950,0.001159248860687485
400,0.0013073777643138529
600,0.0012737306356005388
1800,0.0012777664952224907
1550,0.0012002333623393744
100,0.00132322877554967
1250,0.0013347144237159788
1050,0.0012017862433531719
300,0.0012549379200363885
1900,0.001211325234795204
700,0.0013003040356359113
1450,0.0012325044971959768
850,0.0012579066229319738
1650,0.001161662385909523
500,0.0012787962258915947
