RESOLUTION,ERROR,ERROR RATE
1700,42254,1.462
900,11334,1.399
450,2963,1.463
650,6071,1.437
1850,50282,1.469
1500,30467,1.354
1100,17281,1.428
250,846,1.354
1300,23789,1.408
1950,54136,1.424
750,8015,1.425
1400,27566,1.406
800,9666,1.51
1600,37183,1.452
550,4394,1.453
150,410,1.822
1200,20797,1.444
1000,14773,1.477
350,1631,1.331
1150,18543,1.402
200,608,1.52
1350,27374,1.502
1750,42812,1.398
950,12469,1.382
400,2209,1.381
600,5097,1.416
1800,48171,1.487
1550,34474,1.435
100,148,1.48
1250,22868,1.464
1050,15377,1.395
300,1287,1.43
1900,51448,1.425
700,6827,1.393
1450,30919,1.471
850,10008,1.385
1650,39657,1.457
500,3499,1.4
