RESOLUTION,ERROR
1700,0.002855037163318559
900,0.0025419706677692654
450,0.002631271699662872
650,0.002721026017015457
1850,0.002756464154202813
1500,0.0026001242079899487
1100,0.00261480001250421
250,0.0025283388052634212
1300,0.002626238770072608
1950,0.002741030718902554
750,0.002490835251082382
1400,0.002537322101093902
800,0.002703736727988519
1600,0.0026766587466820393
550,0.002509088836370066
150,0.003713418434552742
1200,0.0026571027298904403
1000,0.00257375501251542
350,0.0023976815388295526
1150,0.002652829703424499
200,0.00270083126909936
1350,0.0027546980821966317
1750,0.0025142219998473482
950,0.0025289343393279226
400,0.002630330454045783
600,0.0026843258089898213
1800,0.002711136877049365
1550,0.0026179869084658686
100,0.0026061635557853287
1250,0.002911507822678245
1050,0.0026199107215373056
300,0.0026376878957199246
1900,0.0026654310855736925
700,0.0026684041524037048
1450,0.0027672932355161887
850,0.002698588353241882
1650,0.0025764308099284045
500,0.0025994994138877708
