RESOLUTION,ERROR,ERROR RATE
1700,60336,2.088
900,16792,2.073
450,4242,2.095
650,8794,2.081
1850,71349,2.085
1500,43172,1.919
1100,24890,2.057
250,1209,1.934
1300,34206,2.024
1950,78819,2.073
750,11628,2.067
1400,40923,2.088
800,13829,2.161
1600,54947,2.146
550,6183,2.044
150,517,2.298
1200,29345,2.038
1000,21225,2.123
350,2273,1.856
1150,25879,1.957
200,879,2.198
1350,40083,2.199
1750,64618,2.11
950,17362,1.924
400,3074,1.921
600,6958,1.933
1800,67661,2.088
1550,50942,2.12
100,208,2.08
1250,32282,2.066
1050,21586,1.958
300,1764,1.96
1900,74897,2.075
700,9568,1.953
1450,45701,2.174
850,14595,2.02
1650,57231,2.102
500,5137,2.055
