RESOLUTION,ERROR
1700,0.009068064579005263
900,0.008866734780448117
450,0.008801582146889642
650,0.008815892035758617
1850,0.008815916449559478
1500,0.008881502676139413
1100,0.008779915080886167
250,0.008828885913398919
1300,0.008829194296967047
1950,0.008831853589738457
750,0.008872967017268842
1400,0.008857840405998072
800,0.0091573722244475
1600,0.009131549214133282
550,0.008793593655635184
150,0.01127998064159892
1200,0.008811445577800597
1000,0.008744621597443944
350,0.00838480192095876
1150,0.00874352810427109
200,0.00854475436263137
1350,0.008893078238400525
1750,0.008814171194191372
950,0.008777556978964847
400,0.008718065413483553
600,0.00875356483537723
1800,0.00890634194611681
1550,0.00873849279917551
100,0.007797157939250437
1250,0.009084313165032025
1050,0.008773706221341626
300,0.008660475759281411
1900,0.008780794151455945
700,0.008765944499083385
1450,0.008766232925505192
850,0.008846492837292724
1650,0.008773584221331295
500,0.008745206878839737
