RESOLUTION,ERROR,ERROR RATE
1700,175452,6.071
900,47755,5.896
450,11881,5.867
650,24716,5.85
1850,201001,5.873
1500,131112,5.827
1100,70282,5.808
250,3704,5.926
1300,98519,5.83
1950,223271,5.872
750,32829,5.836
1400,114294,5.831
800,39137,6.115
1600,156251,6.104
550,17737,5.863
150,1588,7.058
1200,84444,5.864
1000,58262,5.826
350,7567,6.177
1150,79888,6.041
200,2497,6.242
1350,107580,5.903
1750,179386,5.858
950,53916,5.974
400,10060,6.287
600,22740,6.317
1800,191445,5.909
1550,139700,5.815
100,602,6.02
1250,94960,6.077
1050,66056,5.991
300,5631,6.257
1900,210385,5.828
700,30941,6.314
1450,122642,5.833
850,42693,5.909
1650,157991,5.803
500,15817,6.327
